Autodrive, Distance measured, Angle measured, Desired Angle, Steering Error, Actuator speed, Forward, Reverse
0,-5.344574,-2.755128,0.000000,2.755128,752.149902,0,1
0,-5.344574,-2.755128,0.000000,2.755128,752.149902,0,1
0,-5.344574,-2.755128,0.000000,2.755128,752.149902,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.344574,-2.755128,0.000000,2.755128,752.149902,0,1
0,-5.303833,-2.734126,0.000000,2.734126,746.416382,0,1
0,-5.344574,-2.755128,0.000000,2.755128,752.149902,0,1
0,-5.303833,-2.734126,0.000000,2.734126,746.416382,0,1
0,-5.263062,-2.713108,0.000000,2.713108,740.678589,0,1
0,-5.100098,-2.629100,0.000000,2.629100,717.744385,0,1
0,-5.140839,-2.650102,0.000000,2.650102,723.477966,0,1
0,-4.896393,-2.524091,0.000000,2.524091,689.076721,0,1
0,-4.733398,-2.440067,0.000000,2.440067,666.138245,0,1
0,-4.448181,-2.293037,0.000000,2.293037,625.999207,0,1
0,-4.122253,-2.125022,0.000000,2.125022,580.130920,0,1
0,-3.837036,-1.977992,0.000000,1.977992,539.991882,0,1
0,-3.714813,-1.914986,0.000000,1.914986,522.791260,0,1
0,-3.429596,-1.767957,0.000000,1.767957,482.652191,0,1
0,-3.144379,-1.620927,0.000000,1.620927,442.513123,0,1
0,-2.859192,-1.473913,0.000000,1.473913,402.378357,0,1
0,-2.777679,-1.431894,0.000000,1.431894,390.906982,0,1
0,-2.655457,-1.368888,0.000000,1.368888,373.706390,0,1
0,-2.492493,-1.284880,0.000000,1.284880,350.772217,0,1
0,-2.329498,-1.200856,0.000000,1.200856,327.833771,0,1
0,-2.166534,-1.116848,0.000000,1.116848,304.899628,0,1
0,-2.085052,-1.074845,0.000000,1.074845,293.432587,0,1
0,-2.044312,-1.053843,0.000000,1.053843,287.699005,0,1
0,-1.759094,-0.906813,0.000000,0.906813,247.559967,0,1
0,-1.718353,-0.885811,0.000000,0.885811,241.826431,0,1
0,-1.636871,-0.843807,0.000000,0.843807,230.359360,0,1
0,-1.596100,-0.822789,0.000000,0.822789,224.621536,0,1
0,-1.473877,-0.759784,0.000000,0.759784,207.420914,0,1
0,-1.392395,-0.717780,0.000000,0.717780,195.953842,0,1
0,-1.270172,-0.654774,0.000000,0.654774,178.753220,0,1
0,-1.270172,-0.654774,0.000000,0.654774,178.753220,0,1
0,-1.147919,-0.591752,0.000000,0.591752,161.548325,0,1
0,-1.107178,-0.570750,0.000000,0.570750,155.814789,0,1
0,-1.025696,-0.528746,0.000000,0.528746,144.347702,0,1
0,-1.025696,-0.528746,0.000000,0.528746,144.347702,0,1
0,-0.821991,-0.423736,0.000000,0.423736,115.680016,0,1
0,-1.025696,-0.528746,0.000000,0.528746,144.347702,0,1
0,-0.821991,-0.423736,0.000000,0.423736,115.680016,0,1
0,-0.781219,-0.402719,0.000000,0.402719,109.942184,0,1
0,-0.658997,-0.339713,0.000000,0.339713,92.741577,0,1
0,-0.414551,-0.213701,0.000000,0.213701,58.340351,0,1
0,-0.577515,-0.297709,0.000000,0.297709,81.274506,0,1
0,-0.618256,-0.318711,0.000000,0.318711,87.008041,0,1
0,-0.862732,-0.444738,0.000000,0.444738,121.413559,0,1
0,-0.577515,-0.297709,0.000000,0.297709,81.274506,0,1
0,-0.740479,-0.381717,0.000000,0.381717,104.208649,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-1.270172,-0.654774,0.000000,0.654774,178.753220,0,1
0,-0.740479,-0.381717,0.000000,0.381717,104.208649,0,1
0,-0.536774,-0.276707,0.000000,0.276707,75.540970,0,1
0,-0.455292,-0.234703,0.000000,0.234703,64.073891,0,1
0,-0.455292,-0.234703,0.000000,0.234703,64.073891,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.129333,-0.066671,0.000000,0.066671,18.201296,0,1
0,-0.496033,-0.255705,0.000000,0.255705,69.807426,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.333038,-0.171681,0.000000,0.171681,46.868984,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
0,-0.292297,-0.150679,0.000000,0.150679,41.135445,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.251556,-0.129677,0.000000,0.129677,35.401909,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.210815,-0.108675,0.000000,0.108675,29.668371,0,1
0,-0.170074,-0.087673,0.000000,0.087673,23.934835,0,1
