X, Y, PathError, Steering, Velocity, Kp, Kd, Kdh, Ki
5.090000,1.500000,0.500100,-6.686141,19.000000,-0.100000,-0.000000,-0.015695,-0.001000
5.100000,1.510000,0.490000,-1.628188,19.000000,-0.098000,-0.000000,0.071563,-0.001980
5.110000,1.500000,0.500100,-8.933571,19.000000,-0.100000,-0.000000,-0.052940,-0.002980
5.110000,1.490000,0.510098,-15.984436,19.000000,-0.102000,-0.000000,-0.172981,-0.004000
5.130000,1.480000,0.520865,-12.151225,19.000000,-0.104000,-0.000000,-0.103039,-0.005040
5.180000,1.470000,0.530377,-9.490754,19.000000,-0.106000,-0.000000,-0.053545,-0.006100
5.270000,1.450000,0.550818,-8.937697,19.000000,-0.110000,-0.000000,-0.038792,-0.007200
5.400000,1.460000,0.540000,-7.003231,19.000000,-0.108000,-0.000000,-0.005949,-0.008280
5.590000,1.420000,0.580086,-8.400809,19.000000,-0.116000,-0.000000,-0.021182,-0.009440
5.810000,1.390000,0.610082,-8.705400,19.000000,-0.122000,-0.000000,-0.019278,-0.010660
5.970000,1.340000,0.660681,-10.317627,19.000000,-0.132000,-0.000000,-0.036097,-0.011980
6.200000,1.310000,0.690000,-10.061684,19.000000,-0.138000,-0.000000,-0.024249,-0.013360
6.450000,1.280000,0.721734,-10.161701,19.000000,-0.144000,-0.000000,-0.018555,-0.014800
6.680000,1.250000,0.750267,-10.582665,19.000000,-0.150000,-0.000000,-0.018402,-0.016300
6.930000,1.250000,0.750600,-9.965691,19.000000,-0.150000,-0.000000,-0.006134,-0.017800
7.180000,1.260000,0.740270,-9.501592,19.000000,-0.148000,-0.000000,0.001446,-0.019280
7.400000,1.280000,0.720000,-8.910146,19.000000,-0.144000,-0.000000,0.009209,-0.020720
7.600000,1.340000,0.660000,-7.049970,19.000000,-0.132000,-0.000000,0.030995,-0.022040
7.860000,1.360000,0.641249,-7.678040,19.000000,-0.128000,-0.000000,0.017313,-0.023320
8.110000,1.380000,0.620081,-7.781209,19.000000,-0.124000,-0.000000,0.012752,-0.024560
8.310000,1.420000,0.580086,-6.776408,19.000000,-0.116000,-0.000000,0.023449,-0.025720
8.550000,1.470000,0.532353,-6.059883,19.000000,-0.106000,-0.000000,0.027015,-0.026780
8.830000,1.510000,0.490918,-5.889567,19.000000,-0.098000,-0.000000,0.022968,-0.027760
9.120000,1.560000,0.440454,-5.344331,19.000000,-0.088000,-0.000000,0.023364,-0.028640
9.400000,1.610000,0.390000,-4.708496,19.000000,-0.078000,-0.000000,0.025241,-0.029420
9.690000,1.630000,0.370135,-5.185856,19.000000,-0.074000,-0.000000,0.013650,-0.030160
9.960000,1.670000,0.332415,-4.486687,19.000000,-0.066000,-0.000000,0.018513,-0.030820
10.120000,1.700000,0.300666,-3.884416,19.000000,-0.060000,-0.000000,0.023624,-0.031420
10.370000,1.750000,0.251794,-3.142483,19.000000,-0.050000,-0.000000,0.027073,-0.031920
10.580000,1.850000,0.151327,-0.547881,19.000000,-0.030000,-0.000000,0.052658,-0.032220
10.570000,1.980000,0.036056,8.328141,19.000000,-0.004000,-0.000000,0.181613,-0.032260
10.800000,2.070000,0.070000,4.530362,19.000000,0.014000,0.000000,0.097190,-0.032120
11.190000,2.050000,0.050990,0.394534,19.000000,0.010000,0.000000,0.028906,-0.032020
11.360000,2.070000,0.080623,0.127613,19.000000,0.014000,0.000000,0.020107,-0.031880
11.600000,2.060000,0.060000,-0.948144,19.000000,0.012000,0.000000,0.003212,-0.031760
11.790000,2.080000,0.080623,-0.232475,19.000000,0.016000,0.000000,0.011543,-0.031600
12.020000,2.090000,0.092195,-0.348464,19.000000,0.018000,0.000000,0.007338,-0.031420
12.050000,2.140000,0.148661,5.860241,19.000000,0.028000,0.000000,0.105420,-0.031140
12.280000,2.210000,0.210950,4.259679,19.000000,0.042000,0.000000,0.063065,-0.030720
12.510000,2.220000,0.220227,2.190559,19.000000,0.044000,0.000000,0.024512,-0.030280
12.680000,2.230000,0.230868,1.695200,19.000000,0.046000,0.000000,0.013407,-0.029820
12.800000,2.240000,0.240000,1.725191,19.000000,0.048000,0.000000,0.011450,-0.029340
13.090000,2.210000,0.210238,0.468113,19.000000,0.042000,0.000000,-0.004910,-0.028920
13.210000,2.210000,0.210238,0.679721,19.000000,0.042000,0.000000,-0.001637,-0.028500
13.490000,2.180000,0.180278,-0.180912,19.000000,0.036000,0.000000,-0.011018,-0.028140
13.760000,2.140000,0.145602,-1.002396,19.000000,0.028000,0.000000,-0.017635,-0.027860
14.090000,2.080000,0.080622,-2.007168,19.000000,0.016000,0.000000,-0.023332,-0.027700
14.730000,1.870000,0.133417,-5.337282,19.000000,-0.026000,-0.000000,-0.039193,-0.027960
15.150000,1.720000,0.284429,-7.491173,19.000000,-0.056000,-0.000000,-0.046226,-0.028520
15.520000,1.620000,0.380526,-8.414944,19.000000,-0.076000,-0.000000,-0.041588,-0.029280
15.920000,1.550000,0.450444,-8.580089,19.000000,-0.090000,-0.000000,-0.029571,-0.030180
16.320000,1.510000,0.490408,-8.465083,19.000000,-0.098000,-0.000000,-0.018584,-0.031160
16.750000,1.480000,0.522398,-8.458605,19.000000,-0.104000,-0.000000,-0.011431,-0.032200
17.070000,1.450000,0.550818,-8.928791,19.000000,-0.110000,-0.000000,-0.012537,-0.033300
17.400000,1.460000,0.540000,-8.297209,19.000000,-0.108000,-0.000000,-0.002434,-0.034380
17.709999,1.470000,0.530094,-8.050393,19.000000,-0.106000,-0.000000,0.000934,-0.035440
17.950001,1.530000,0.472652,-6.052384,19.000000,-0.094000,-0.000000,0.024746,-0.036380
17.870001,1.660000,0.341321,6.553117,19.000000,-0.068000,-0.000000,0.219433,-0.037060
18.110001,1.760000,0.240208,1.489789,19.000000,-0.048000,-0.000000,0.111542,-0.037540
18.400000,1.800000,0.200000,-1.635344,19.000000,-0.040000,-0.000000,0.049398,-0.037940
18.709999,1.840000,0.160312,-2.382171,19.000000,-0.032000,-0.000000,0.028683,-0.038260
19.040001,1.830000,0.174643,-3.711863,19.000000,-0.034000,-0.000000,0.007816,-0.038600
19.500000,1.770000,0.230000,-5.424309,19.000000,-0.046000,-0.000000,-0.009612,-0.039060
19.760000,1.760000,0.243310,-5.399250,19.000000,-0.048000,-0.000000,-0.006695,-0.039540
