Autodrive, X, Y, Z, PosError, Heading, HError, Velocity, VError, GN, GE, Longitude, Latitude, Longitude Error, Latitude Error
1,369,275,0,20,-0.491085,32.301640,1,1,-285303684,283197154,28.227677,-25.753101,20,40
1,369,275,0,19,-0.163695,49.114090,0,2,-285303684,283197154,28.227677,-25.753101,19,34
1,369,275,0,19,-0.054565,14.016770,3,3,-285303684,283197154,28.227677,-25.753101,19,32
1,370,274,0,18,29.315145,10.872620,3,1,-285303684,283197153,28.227677,-25.753101,18,32
1,374,274,0,19,9.771715,4.614790,16,3,-285303687,283197151,28.227677,-25.753101,19,32
1,380,271,0,26,20.590572,8.589100,20,10,-285303690,283197145,28.227676,-25.753101,26,47
1,383,263,0,38,52.863524,7.309780,34,7,-285303688,283197136,28.227676,-25.753101,38,75
1,391,255,0,32,46.954508,7.340650,41,7,-285303689,283197125,28.227674,-25.753101,32,63
1,399,246,0,30,47.651503,13.443100,51,14,-285303690,283197113,28.227673,-25.753101,30,57
1,413,234,0,28,42.550501,4.732310,82,15,-285303694,283197095,28.227672,-25.753102,28,53
1,428,224,0,27,36.183500,2.920280,82,7,-285303699,283197078,28.227670,-25.753102,27,50
1,442,211,0,23,40.061167,4.234420,94,10,-285303703,283197059,28.227668,-25.753103,23,42
1,459,196,0,29,40.687056,2.460500,104,9,-285303707,283197037,28.227666,-25.753103,29,51
1,477,179,0,28,42.229019,14.539160,74,22,-285303711,283197013,28.227664,-25.753103,28,47
1,495,166,0,25,37.409673,27.320360,42,38,-285303717,283196991,28.227662,-25.753104,25,42
1,515,149,0,23,39.136558,6.728820,103,9,-285303723,283196966,28.227659,-25.753104,23,39
1,536,139,0,30,29.712186,4.794400,102,8,-285303733,283196945,28.227657,-25.753105,30,52
1,556,125,0,32,32.570729,5.121740,98,6,-285303741,283196921,28.227655,-25.753106,32,55
1,577,113,0,30,30.190243,5.410060,117,17,-285303750,283196899,28.227653,-25.753107,30,54
1,601,102,0,28,26.063414,8.201190,103,11,-285303762,283196876,28.227651,-25.753108,28,52
1,625,92,0,25,23.354471,9.216110,92,9,-285303775,283196853,28.227649,-25.753109,25,49
1,652,84,0,22,18.451490,4.521050,100,4,-285303792,283196831,28.227647,-25.753111,22,44
1,678,78,0,22,14.150497,2.954470,129,7,-285303809,283196810,28.227646,-25.753112,22,42
1,702,74,0,21,10.716832,4.297500,113,9,-285303825,283196792,28.227644,-25.753114,21,41
1,729,69,0,21,10.238944,3.345670,116,6,-285303844,283196772,28.227643,-25.753115,21,41
1,756,66,0,21,7.412981,2.914350,117,4,-285303864,283196753,28.227641,-25.753117,21,40
1,780,65,0,17,3.804327,1.723550,123,3,-285303882,283196737,28.227640,-25.753119,17,28
1,804,68,0,19,-3.398558,3.678010,112,5,-285303903,283196725,28.227639,-25.753121,19,27
1,825,75,0,20,-13.132853,9.016510,102,9,-285303924,283196718,28.227639,-25.753122,20,29
1,850,76,0,26,-5.710951,3.370770,123,8,-285303944,283196703,28.227638,-25.753124,26,36
1,878,79,0,29,-5.903650,3.410270,108,5,-285303968,283196689,28.227637,-25.753126,29,49
1,907,81,0,25,-3.967883,3.207730,106,6,-285303992,283196673,28.227636,-25.753129,25,49
1,935,84,0,22,-5.322628,3.516730,134,20,-285304016,283196658,28.227635,-25.753131,22,44
1,957,89,0,24,-9.774209,5.238000,111,12,-285304037,283196649,28.227634,-25.753133,24,46
1,979,95,0,24,-13.258070,2.260610,124,10,-285304058,283196640,28.227634,-25.753134,24,45
1,1003,102,0,26,-15.086023,3.206220,112,5,-285304081,283196631,28.227634,-25.753137,26,48
