Autodrive, X, Y, Z, PosError, Heading, HError, Velocity, VError, GN, GE, Longitude, Latitude, Longitude Error, Latitude Error
1,-1634,10,0,1671,25.000000,24.393720,3,5,-285301031,283198959,28.227801,-25.752862,1671,2838
1,-1635,11,0,1680,25.000000,11.902350,5,4,-285301031,283198960,28.227801,-25.752862,1680,2852
1,-1634,9,0,1688,25.000000,13.971980,2,1,-285301031,283198958,28.227801,-25.752862,1688,2866
1,-1632,8,0,1697,25.000000,72.961180,1,4,-285301032,283198956,28.227800,-25.752862,1697,2880
1,-1629,8,0,1705,25.000000,9.682090,5,3,-285301034,283198954,28.227800,-25.752862,1705,2894
1,-1623,8,0,1713,201.000000,3.768800,23,2,-285301038,283198950,28.227800,-25.752863,1713,2907
1,-1608,8,0,1722,205.000000,3.971210,45,4,-285301049,283198940,28.227799,-25.752864,1722,2921
1,-1588,7,0,1731,216.000000,2.106020,89,5,-285301064,283198926,28.227798,-25.752865,1731,2935
1,-1563,9,0,1739,208.000000,1.161340,103,2,-285301084,283198911,28.227797,-25.752867,1739,2949
1,-1535,11,0,1747,211.000000,2.204850,115,10,-285301106,283198894,28.227796,-25.752869,1747,2962
1,-1508,10,0,1754,216.000000,1.743070,112,4,-285301126,283198875,28.227794,-25.752871,1754,2975
1,-1485,14,0,1761,199.000000,3.670860,102,4,-285301145,283198863,28.227794,-25.752872,1761,2987
1,-1465,15,0,1773,210.000000,0.982950,106,3,-285301161,283198850,28.227793,-25.752874,1773,3009
1,-1444,16,0,1730,211.000000,1.358230,102,2,-285301177,283198837,28.227792,-25.752875,1730,2936
1,-1421,15,0,1710,212.000000,1.262500,104,4,-285301194,283198821,28.227790,-25.752877,1710,2902
1,-1397,17,0,1712,212.000000,4.074120,109,9,-285301213,283198806,28.227789,-25.752879,1712,2909
1,-1359,18,0,1709,213.000000,5.571870,120,15,-285301242,283198782,28.227788,-25.752881,1709,2906
1,-1328,19,0,1710,214.000000,3.139140,106,5,-285301266,283198762,28.227786,-25.752883,1710,2906
1,-1293,18,0,1711,211.000000,4.435090,105,9,-285301291,283198738,28.227784,-25.752886,1711,2907
1,-1261,18,0,1713,217.000000,3.584360,107,9,-285301315,283198717,28.227783,-25.752888,1713,2908
1,-1225,19,0,1715,206.000000,3.883720,105,6,-285301343,283198694,28.227781,-25.752890,1715,2910
1,-1191,22,0,1717,212.000000,2.735150,103,4,-285301370,283198673,28.227780,-25.752893,1717,2912
1,-1117,20,0,1156,216.000000,1.133570,120,4,-285301424,283198623,28.227776,-25.752898,1156,1976
1,-1078,19,0,939,213.000000,2.842240,121,7,-285301453,283198596,28.227774,-25.752900,939,1609
1,-1047,21,0,816,214.000000,2.040830,112,4,-285301477,283198577,28.227772,-25.752902,816,1406
1,-1019,22,0,740,208.000000,2.645770,102,4,-285301499,283198559,28.227771,-25.752904,740,1276
1,-994,22,0,690,216.000000,1.678660,116,5,-285301517,283198542,28.227770,-25.752906,690,1185
1,-958,19,0,650,208.000000,4.112390,91,4,-285301542,283198516,28.227767,-25.752908,650,1117
1,-934,20,0,624,208.000000,3.800490,108,6,-285301561,283198501,28.227766,-25.752910,624,1068
1,-909,22,0,605,212.000000,2.413140,111,4,-285301581,283198486,28.227765,-25.752912,605,1031
1,-883,23,0,591,211.000000,3.570730,111,7,-285301601,283198469,28.227764,-25.752913,591,1003
1,-851,22,0,554,214.000000,2.889480,126,6,-285301624,283198447,28.227762,-25.752916,554,967
1,-825,25,0,527,212.000000,3.507860,112,6,-285301646,283198432,28.227761,-25.752918,527,906
1,-796,28,0,525,209.000000,3.852420,111,7,-285301669,283198415,28.227760,-25.752920,525,874
1,-771,28,0,531,218.000000,6.544380,105,10,-285301688,283198398,28.227759,-25.752921,531,855
1,-742,28,0,536,203.000000,4.072810,107,6,-285301710,283198379,28.227757,-25.752923,536,842
1,-715,28,0,528,210.000000,3.662050,112,6,-285301730,283198361,28.227756,-25.752925,528,830
1,-685,29,0,518,213.000000,4.294510,122,8,-285301753,283198342,28.227755,-25.752927,518,833
1,-657,26,0,508,222.000000,4.842940,123,19,-285301772,283198321,28.227753,-25.752929,508,842
1,-630,25,0,502,217.000000,3.622500,125,9,-285301791,283198302,28.227751,-25.752931,502,857
1,-602,27,0,502,209.000000,2.649770,125,5,-285301813,283198285,28.227750,-25.752933,502,878
1,-571,23,0,501,220.000000,7.527290,116,17,-285301834,283198262,28.227748,-25.752934,501,905
1,-545,25,0,490,215.000000,7.915030,116,22,-285301855,283198246,28.227747,-25.752936,490,867
1,-519,23,0,493,216.000000,2.810070,106,5,-285301873,283198227,28.227746,-25.752938,493,890
1,-488,22,0,498,212.000000,3.343040,114,5,-285301895,283198206,28.227744,-25.752940,498,919
1,-466,24,0,504,210.000000,7.109700,106,11,-285301913,283198192,28.227743,-25.752942,504,947
1,-439,23,0,515,217.000000,3.602350,115,6,-285301932,283198174,28.227742,-25.752943,515,962
1,-408,20,0,514,219.000000,1.845350,123,3,-285301953,283198151,28.227740,-25.752945,514,957
1,-377,16,0,515,219.000000,1.873130,128,3,-285301974,283198128,28.227738,-25.752947,515,952
1,-345,16,0,518,212.000000,3.616180,129,8,-285301998,283198106,28.227736,-25.752949,518,950
1,-319,17,0,401,214.000000,3.604400,118,6,-285302018,283198089,28.227735,-25.752951,401,742
1,-293,16,0,359,214.000000,3.281970,115,6,-285302037,283198072,28.227734,-25.752953,359,672
1,-268,14,0,340,220.000000,1.425480,110,2,-285302054,283198054,28.227732,-25.752954,340,669
1,-242,14,0,330,215.000000,2.975860,119,5,-285302074,283198036,28.227731,-25.752956,330,677
1,-215,15,0,327,214.000000,1.919190,112,3,-285302094,283198019,28.227730,-25.752958,327,690
