X, Y, PathError, Steering, Velocity
815.000000,183.000000,0,0,39.600001
815.000000,184.000000,0,0,39.200001
815.000000,183.000000,0,0,40.000001
814.000000,184.000000,0,0,38.800001
815.000000,184.000000,0,0,37.600001
821.000000,185.000000,0,0,28.000000
833.000000,186.000000,0,0,22.000000
846.000000,192.000000,0,0,12.000000
864.000000,196.000000,0,0,3.200000
882.000000,198.000000,0,0,4.000000
901.000000,199.000000,0,0,9.200000
916.000000,203.000000,0,0,11.200000
927.000000,207.000000,0,0,15.200000
938.000000,211.000000,0,0,13.200000
951.000000,211.000000,0,0,15.600000
964.000000,213.000000,0,0,15.200000
979.000000,213.000000,0,0,12.800000
995.000000,217.000000,0,0,12.000000
1012.000000,218.000000,0,0,8.000000
1028.000000,220.000000,0,0,9.600000
1041.000000,220.000000,0,0,15.600000
1055.000000,220.000000,0,0,14.400000
1077.000000,220.000000,0,0,18.000000
1091.000000,222.000000,0,0,15.200000
1107.000000,222.000000,0,0,13.600000
1125.000000,225.000000,0,0,8.400000
1141.000000,225.000000,0,0,9.600000
1148.000000,238.000000,0,0,12.400000
1160.000000,236.000000,0,0,12.800000
1172.000000,239.000000,0,0,15.200000
1185.000000,243.000000,0,0,15.200000
1199.000000,245.000000,0,0,12.400000
1210.000000,250.000000,0,0,13.200000
1226.000000,252.000000,0,0,10.800000
1241.000000,251.000000,0,0,10.400000
1256.000000,252.000000,0,0,12.400000
1273.000000,252.000000,0,0,14.000000
1284.000000,250.000000,0,0,19.200000
1295.000000,252.000000,0,0,16.400000
1312.000000,249.000000,0,0,11.200000
1329.000000,246.000000,0,0,9.600000
1344.000000,251.000000,0,0,10.800000
1356.000000,253.000000,0,0,40.000001
1369.000000,257.000000,0,0,15.200000
1383.000000,256.000000,0,0,15.200000
1398.000000,256.000000,0,0,16.000000
1411.000000,256.000000,0,0,13.200000
1427.000000,255.000000,0,0,12.800000
1443.000000,259.000000,0,0,8.800000
1460.000000,261.000000,0,0,8.400000
1474.000000,264.000000,0,0,11.600000
1488.000000,266.000000,0,0,10.400000
1501.000000,263.000000,0,0,14.800000
1514.000000,267.000000,0,0,15.200000
1526.000000,265.000000,0,0,16.800000
1541.000000,266.000000,0,0,16.000000
1558.000000,265.000000,0,0,14.800000
1575.000000,267.000000,0,0,10.400000
1592.000000,271.000000,0,0,7.600000
1608.000000,274.000000,0,0,4.400000
1626.000000,274.000000,0,0,9.200000
1641.000000,274.000000,0,0,10.000000
1656.000000,272.000000,0,0,11.600000
1666.000000,275.000000,0,0,14.000000
1679.000000,275.000000,0,0,17.200000
1691.000000,278.000000,0,0,15.200000
1705.000000,278.000000,0,0,14.400000
1721.000000,280.000000,0,0,13.200000
1737.000000,281.000000,0,0,10.800000
1753.000000,281.000000,0,0,7.600000
1772.000000,280.000000,0,0,10.400000
1788.000000,283.000000,0,0,8.400000
1804.000000,282.000000,0,0,10.800000
1817.000000,280.000000,0,0,13.600000
1829.000000,282.000000,0,0,16.400000
1841.000000,283.000000,0,0,16.800000
1855.000000,283.000000,0,0,18.000000
1855.000000,283.000000,0,0,14.000000
1870.000000,285.000000,0,0,0.400000
1890.000000,284.000000,0,0,5.200000
1908.000000,281.000000,0,0,0.000000
1926.000000,280.000000,0,0,8.800000
1940.000000,284.000000,0,0,12.400000
1954.000000,289.000000,0,0,13.600000
1968.000000,289.000000,0,0,15.200000
1982.000000,286.000000,0,0,14.800000
1997.000000,285.000000,0,0,12.800000
2013.000000,285.000000,0,0,8.800000
2030.000000,284.000000,0,0,11.200000
2045.000000,285.000000,0,0,11.600000
2059.000000,287.000000,0,0,13.600000
2073.000000,289.000000,0,0,14.000000
2089.000000,288.000000,0,0,12.400000
2104.000000,287.000000,0,0,40.000001
2120.000000,285.000000,0,0,12.400000
