X, Y, PathError, Steering, Velocity
-1634.000000,10.000000,0,0,31.005000
-1635.000000,11.000000,0,0,32.230000
-1634.000000,9.000000,0,0,34.750000
-1632.000000,8.000000,0,0,36.785000
-1629.000000,8.000000,0,0,37.510000
-1623.000000,8.000000,0,0,34.465000
-1608.000000,8.000000,0,0,30.090000
-1588.000000,7.000000,0,0,19.555000
-1563.000000,9.000000,0,0,16.310000
-1535.000000,11.000000,0,0,13.385000
-1508.000000,10.000000,0,0,14.255000
-1485.000000,14.000000,0,0,17.025000
-1465.000000,15.000000,0,0,16.235001
-1444.000000,16.000000,0,0,17.505001
-1421.000000,15.000000,0,0,17.245001
-1397.000000,17.000000,0,0,16.160001
-1359.000000,18.000000,0,0,13.410001
-1328.000000,19.000000,0,0,17.120001
-1293.000000,18.000000,0,0,17.595001
-1261.000000,18.000000,0,0,17.290001
-1225.000000,19.000000,0,0,18.015001
-1191.000000,22.000000,0,0,18.770001
-1117.000000,20.000000,0,0,14.520001
-1078.000000,19.000000,0,0,14.255001
-1047.000000,21.000000,0,0,16.625001
-1019.000000,22.000000,0,0,19.395001
-994.000000,22.000000,0,0,15.955001
-958.000000,19.000000,0,0,22.640001
-934.000000,20.000000,0,0,18.570001
-909.000000,22.000000,0,0,17.955001
-883.000000,23.000000,0,0,18.090001
-851.000000,22.000000,0,0,14.250001
-825.000000,25.000000,0,0,17.870001
-796.000000,28.000000,0,0,18.255001
-771.000000,28.000000,0,0,19.980001
-742.000000,28.000000,0,0,19.675001
-715.000000,28.000000,0,0,18.545001
-685.000000,29.000000,0,0,16.015001
-657.000000,26.000000,0,0,15.720001
-630.000000,25.000000,0,0,15.145001
-602.000000,27.000000,0,0,15.070001
-571.000000,23.000000,0,0,17.380001
-545.000000,25.000000,0,0,17.440001
-519.000000,23.000000,0,0,20.150001
-488.000000,22.000000,0,0,18.240001
-466.000000,24.000000,0,0,20.450001
-439.000000,23.000000,0,0,18.275001
-408.000000,20.000000,0,0,16.230001
-377.000000,16.000000,0,0,14.860001
-345.000000,16.000000,0,0,14.475001
-319.000000,17.000000,0,0,17.255001
-293.000000,16.000000,0,0,18.080001
-268.000000,14.000000,0,0,19.480001
-242.000000,14.000000,0,0,17.245001
-215.000000,15.000000,0,0,19.115001
-184.000000,14.000000,0,0,14.995001
-157.000000,16.000000,0,0,15.935001
-131.000000,15.000000,0,0,17.995001
-103.000000,15.000000,0,0,16.730001
-78.000000,17.000000,0,0,17.245001
-49.000000,14.000000,0,0,15.670001
-20.000000,12.000000,0,0,15.860001
2.000000,13.000000,0,0,18.450001
29.000000,12.000000,0,0,19.335001
56.000000,11.000000,0,0,19.470001
82.000000,10.000000,0,0,18.545001
110.000000,9.000000,0,0,15.440001
138.000000,9.000000,0,0,16.925001
168.000000,7.000000,0,0,14.525001
196.000000,7.000000,0,0,18.085001
223.000000,7.000000,0,0,15.760001
249.000000,8.000000,0,0,15.950001
274.000000,7.000000,0,0,16.950001
302.000000,5.000000,0,0,16.950001
326.000000,4.000000,0,0,18.540001
353.000000,2.000000,0,0,15.450001
386.000000,1.000000,0,0,18.540001
