Autodrive, X, Y, Z, PosError, Heading, HError, Velocity, VError, GN, GE, Longitude, Latitude, Longitude Error, Latitude Error
1,-249,425,0,75,38.000000,125.343380,0,5,-285302342,283198348,28.227768,-25.752980,75,106
1,-249,425,0,75,38.000000,27.867590,2,2,-285302342,283198348,28.227768,-25.752980,75,106
1,-249,425,0,75,38.000000,35.580780,1,3,-285302342,283198348,28.227768,-25.752980,75,106
1,-248,425,0,75,38.000000,18.288780,3,1,-285302342,283198347,28.227768,-25.752980,75,106
1,-245,426,0,76,226.000000,6.953980,14,2,-285302345,283198346,28.227768,-25.752980,76,106
1,-238,425,0,76,216.000000,4.183970,40,3,-285302350,283198340,28.227767,-25.752981,76,106
1,-222,424,0,76,220.000000,3.551100,67,2,-285302361,283198329,28.227766,-25.752982,76,106
1,-199,424,0,75,219.000000,1.225070,108,2,-285302378,283198314,28.227765,-25.752983,75,106
1,-172,423,0,75,215.000000,1.308690,116,1,-285302398,283198295,28.227764,-25.752985,75,106
1,-141,423,0,75,214.000000,0.421130,140,1,-285302421,283198275,28.227762,-25.752987,75,105
1,-108,422,0,75,216.000000,1.008910,143,1,-285302445,283198252,28.227760,-25.752989,75,105
1,-78,426,0,75,212.000000,3.389650,131,4,-285302470,283198235,28.227759,-25.752992,75,105
1,-50,425,0,75,223.000000,2.456840,127,3,-285302490,283198215,28.227758,-25.752993,75,105
1,-23,424,0,75,210.000000,1.734340,118,2,-285302510,283198197,28.227756,-25.752995,75,105
1,3,424,0,75,215.000000,1.214500,124,2,-285302530,283198179,28.227755,-25.752997,75,105
1,30,425,0,74,214.000000,1.314290,117,2,-285302551,283198161,28.227754,-25.752999,74,105
1,57,425,0,74,218.000000,1.899950,124,3,-285302571,283198143,28.227752,-25.753001,74,105
1,84,428,0,74,212.000000,1.325670,119,1,-285302593,283198128,28.227751,-25.753003,74,105
1,111,427,0,74,213.000000,2.592660,120,3,-285302613,283198109,28.227750,-25.753004,74,105
1,138,429,0,75,212.000000,2.184920,125,4,-285302634,283198093,28.227748,-25.753006,75,105
1,165,429,0,74,219.000000,2.279170,127,3,-285302654,283198075,28.227747,-25.753008,74,105
1,189,427,0,74,223.000000,2.275330,104,2,-285302671,283198057,28.227746,-25.753010,74,105
