Autodrive, X, Y, Z, PosError, Heading, HError, Velocity, VError, GN, GE, Longitude, Latitude, Longitude Error, Latitude Error
1,529,81,0,107,27.000000,48.112480,2,3,-285302695,283197573,28.227698,-25.753012,107,170
1,528,82,0,107,27.000000,58.522800,2,4,-285302695,283197574,28.227698,-25.753012,107,170
1,529,83,0,107,27.000000,73.272550,0,3,-285302696,283197574,28.227698,-25.753012,107,170
1,530,84,0,107,27.000000,19.819380,5,1,-285302697,283197574,28.227698,-25.753012,107,170
1,533,82,0,107,215.000000,8.914820,16,3,-285302698,283197571,28.227698,-25.753012,107,170
1,541,83,0,106,200.000000,5.973370,45,5,-285302705,283197566,28.227697,-25.753013,106,170
1,555,83,0,106,210.000000,2.717390,67,3,-285302716,283197557,28.227697,-25.753014,106,170
1,570,86,0,107,211.000000,2.614870,76,3,-285302729,283197549,28.227696,-25.753015,107,183
1,588,88,0,113,209.000000,1.735330,79,2,-285302743,283197539,28.227696,-25.753016,113,195
1,606,88,0,114,237.000000,10.044450,74,5,-285302757,283197527,28.227695,-25.753017,114,205
1,622,90,0,113,213.000000,4.487590,64,4,-285302770,283197518,28.227694,-25.753019,113,211
1,638,91,0,114,215.000000,4.086680,69,4,-285302783,283197508,28.227693,-25.753020,114,216
1,653,93,0,112,211.000000,2.223660,78,2,-285302795,283197499,28.227693,-25.753021,112,219
1,669,94,0,115,205.000000,4.688440,71,5,-285302808,283197489,28.227692,-25.753022,115,221
1,686,93,0,116,215.000000,3.763280,76,3,-285302820,283197477,28.227691,-25.753023,116,222
1,705,95,0,116,204.000000,4.408900,76,4,-285302835,283197466,28.227690,-25.753024,116,223
1,722,94,0,116,212.000000,7.208080,81,8,-285302848,283197454,28.227689,-25.753026,116,223
1,740,95,0,116,218.000000,3.465280,80,3,-285302862,283197443,28.227689,-25.753027,116,223
1,759,97,0,112,203.000000,2.087320,94,3,-285302877,283197432,28.227688,-25.753028,112,223
1,778,98,0,111,217.000000,3.009840,86,4,-285302892,283197420,28.227687,-25.753030,111,223
1,796,98,0,108,220.000000,2.916030,82,2,-285302905,283197408,28.227686,-25.753031,108,197
1,813,99,0,108,205.000000,1.436780,84,2,-285302919,283197397,28.227685,-25.753032,108,185
1,833,100,0,125,215.000000,1.540250,83,2,-285302934,283197385,28.227684,-25.753033,125,185
1,852,99,0,130,217.000000,0.919520,94,1,-285302948,283197371,28.227683,-25.753035,130,187
1,872,99,0,122,219.000000,2.477120,88,3,-285302963,283197358,28.227682,-25.753036,122,187
1,893,100,0,108,212.000000,1.802540,96,3,-285302979,283197345,28.227681,-25.753037,108,179
1,913,100,0,106,214.000000,2.512350,100,4,-285302994,283197331,28.227680,-25.753039,106,175
1,933,98,0,106,213.000000,4.379210,88,4,-285303008,283197317,28.227679,-25.753040,106,172
1,957,99,0,111,216.000000,3.042510,100,4,-285303026,283197302,28.227678,-25.753042,111,185
1,978,99,0,118,218.000000,3.032200,105,6,-285303042,283197287,28.227677,-25.753043,118,198
1,999,98,0,121,212.000000,5.396710,93,7,-285303057,283197273,28.227676,-25.753044,121,208
1,1020,98,0,122,216.000000,3.446210,92,3,-285303073,283197259,28.227675,-25.753046,122,216
1,1040,99,0,123,209.000000,1.876880,91,2,-285303088,283197246,28.227674,-25.753047,123,221
1,1063,97,0,121,219.000000,2.746490,95,3,-285303104,283197230,28.227672,-25.753049,121,225
1,1084,98,0,113,217.000000,3.276010,94,4,-285303120,283197216,28.227671,-25.753050,113,201
1,1107,97,0,111,214.000000,2.391230,107,3,-285303137,283197200,28.227670,-25.753052,111,188
1,1130,97,0,110,217.000000,1.752890,104,2,-285303154,283197185,28.227669,-25.753053,110,180
1,1155,98,0,109,211.000000,1.223830,106,1,-285303173,283197169,28.227668,-25.753055,109,176
1,1179,96,0,109,222.000000,1.697800,107,2,-285303190,283197152,28.227667,-25.753056,109,173
1,1201,95,0,109,220.000000,1.565110,109,3,-285303206,283197136,28.227665,-25.753058,109,172
1,1225,95,0,109,215.000000,0.492080,103,1,-285303224,283197120,28.227664,-25.753059,109,171
1,1249,94,0,109,238.000000,3.083330,95,1,-285303241,283197104,28.227663,-25.753061,109,171
1,1270,95,0,114,215.000000,1.669310,105,2,-285303257,283197090,28.227662,-25.753062,114,185
1,1297,92,0,116,223.000000,1.419510,126,3,-285303275,283197070,28.227660,-25.753064,116,199
1,1321,91,0,120,218.000000,2.663250,113,5,-285303293,283197053,28.227659,-25.753066,120,209
1,1344,91,0,111,216.000000,1.115310,105,1,-285303310,283197038,28.227658,-25.753067,111,192
1,1367,89,0,110,225.000000,5.050240,98,7,-285303326,283197021,28.227656,-25.753069,110,183
1,1389,88,0,109,216.000000,3.094580,97,4,-285303342,283197006,28.227655,-25.753070,109,177
1,1415,87,0,108,220.000000,3.383470,113,7,-285303360,283196988,28.227654,-25.753072,108,173
1,1440,84,0,108,218.000000,3.020960,109,4,-285303377,283196969,28.227652,-25.753073,108,171
1,1464,83,0,108,217.000000,3.649850,104,4,-285303394,283196952,28.227651,-25.753075,108,170
1,1490,81,0,127,223.000000,1.404620,123,4,-285303412,283196934,28.227650,-25.753076,127,177
1,1515,80,0,133,220.000000,2.302890,118,5,-285303430,283196916,28.227648,-25.753078,133,183
