Autodrive, X, Y, Z, PosError, Heading, HError, Velocity, VError, GN, GE, Longitude, Latitude, Longitude Error, Latitude Error
1,1691,278,0,237,212.000000,13.007350,62,6,-285303693,283196947,28.227657,-25.753102,237,713
1,1705,278,0,242,202.000000,15.039790,64,7,-285303704,283196938,28.227656,-25.753103,242,746
1,1721,280,0,247,224.000000,10.983600,67,5,-285303717,283196929,28.227655,-25.753104,247,780
1,1737,281,0,254,209.000000,8.284540,73,4,-285303730,283196919,28.227655,-25.753105,254,813
1,1753,281,0,260,214.000000,7.592990,81,4,-285303742,283196908,28.227654,-25.753106,260,845
1,1772,280,0,240,223.000000,6.503280,74,3,-285303755,283196895,28.227653,-25.753107,240,666
1,1788,283,0,228,215.000000,8.328880,79,5,-285303769,283196886,28.227652,-25.753108,228,578
1,1804,282,0,220,202.000000,6.636790,73,3,-285303780,283196875,28.227652,-25.753109,220,524
1,1817,280,0,213,225.000000,7.263870,66,3,-285303789,283196865,28.227651,-25.753110,213,487
1,1829,282,0,208,222.000000,7.760710,59,3,-285303799,283196858,28.227650,-25.753111,208,461
1,1841,283,0,208,209.000000,6.298130,58,2,-285303809,283196851,28.227650,-25.753112,208,486
1,1855,283,0,209,206.000000,7.891150,55,3,-285303819,283196842,28.227649,-25.753113,209,515
1,1870,285,0,209,176.000000,8.692060,99,14,-285303832,283196833,28.227648,-25.753114,209,545
1,1890,284,0,210,222.000000,8.562000,87,5,-285303846,283196819,28.227647,-25.753115,210,577
1,1908,281,0,211,255.000000,10.175870,100,14,-285303857,283196805,28.227646,-25.753116,211,609
1,1926,280,0,214,223.000000,7.394150,78,5,-285303870,283196792,28.227645,-25.753118,214,640
1,1940,284,0,215,197.000000,6.499470,69,4,-285303883,283196786,28.227645,-25.753119,215,671
1,1954,289,0,219,223.000000,15.841140,66,7,-285303897,283196780,28.227645,-25.753120,219,701
1,1968,289,0,225,208.000000,9.549880,62,4,-285303907,283196771,28.227644,-25.753121,225,731
1,1982,286,0,248,213.000000,13.951340,63,5,-285303916,283196760,28.227643,-25.753122,248,696
1,1997,285,0,267,212.000000,9.882180,68,4,-285303927,283196749,28.227642,-25.753123,267,693
1,2013,285,0,283,215.000000,7.964200,78,5,-285303939,283196738,28.227641,-25.753124,283,697
1,2030,284,0,237,216.000000,6.688640,72,4,-285303950,283196726,28.227640,-25.753125,237,532
1,2045,285,0,222,209.000000,7.951550,71,4,-285303962,283196717,28.227640,-25.753126,222,459
1,2059,287,0,216,219.000000,10.637230,66,6,-285303974,283196709,28.227639,-25.753127,216,414
1,2073,289,0,211,209.000000,9.937950,65,5,-285303986,283196701,28.227638,-25.753128,211,385
1,2089,288,0,207,224.000000,10.005520,69,5,-285303997,283196690,28.227638,-25.753129,207,366
1,2120,285,0,205,209.000000,8.146020,69,4,-285304018,283196667,28.227636,-25.753131,205,412
