Autodrive, X, Y, Z, PosError, Heading, HError, Velocity, VError, GN, GE, Longitude, Latitude, Longitude Error, Latitude Error
1,349,202,0,14,247.000000,123.228760,7,38,-285302641,283197783,28.227718,-25.753007,14,21
1,348,203,0,14,247.000000,99.165620,6,15,-285302641,283197784,28.227718,-25.753007,14,21
1,348,202,0,14,247.000000,96.173560,5,20,-285302640,283197783,28.227718,-25.753007,14,21
1,349,202,0,14,247.000000,70.543750,7,12,-285302641,283197783,28.227718,-25.753007,14,28
1,351,203,0,14,247.000000,180.000000,2,30,-285302643,283197782,28.227718,-25.753007,14,30
1,357,203,0,14,223.000000,28.504200,28,12,-285302647,283197778,28.227717,-25.753008,14,31
1,369,204,0,14,214.000000,9.774540,56,9,-285302657,283197771,28.227717,-25.753008,14,31
1,387,204,0,14,212.000000,3.018150,80,4,-285302670,283197759,28.227716,-25.753010,14,27
1,414,204,0,14,215.000000,2.271300,129,5,-285302690,283197741,28.227715,-25.753011,14,26
1,444,204,0,14,216.000000,3.645810,136,6,-285302713,283197721,28.227713,-25.753013,14,26
1,480,203,0,14,217.000000,2.228510,168,5,-285302739,283197696,28.227711,-25.753016,14,30
1,519,204,0,14,213.000000,1.547530,179,4,-285302769,283197671,28.227709,-25.753019,14,32
1,562,206,0,14,214.000000,5.086270,181,11,-285302802,283197644,28.227707,-25.753021,14,30
1,603,208,0,14,213.000000,4.535860,191,11,-285302834,283197618,28.227705,-25.753024,14,29
1,643,207,0,14,217.000000,2.670080,180,6,-285302864,283197591,28.227703,-25.753027,14,30
1,683,208,0,14,215.000000,2.675140,177,6,-285302894,283197565,28.227701,-25.753030,14,31
1,722,209,0,14,214.000000,3.039370,173,6,-285302924,283197540,28.227700,-25.753032,14,30
1,758,211,0,14,211.000000,3.429740,163,6,-285302952,283197517,28.227698,-25.753035,14,25
1,797,211,0,14,218.000000,2.954100,176,7,-285302981,283197492,28.227696,-25.753038,14,24
1,833,211,0,14,215.000000,6.293230,166,16,-285303008,283197468,28.227694,-25.753040,14,24
1,866,214,0,14,210.000000,3.027020,158,6,-285303035,283197448,28.227693,-25.753042,14,24
1,901,211,0,14,216.000000,3.874990,163,12,-285303059,283197422,28.227691,-25.753045,14,24
1,934,210,0,14,220.000000,3.855950,151,8,-285303083,283197400,28.227689,-25.753047,14,22
1,969,211,0,14,212.000000,5.618900,158,12,-285303110,283197377,28.227687,-25.753049,14,23
1,1003,210,0,14,214.000000,4.614140,168,17,-285303134,283197354,28.227685,-25.753051,14,23
1,1036,213,0,14,212.000000,4.728670,145,7,-285303161,283197334,28.227684,-25.753054,14,23
1,1069,212,0,14,215.000000,8.465610,143,13,-285303185,283197312,28.227682,-25.753056,14,23
1,1100,215,0,14,211.000000,5.293190,131,9,-285303210,283197293,28.227681,-25.753058,14,21
1,1135,215,0,14,217.000000,5.216080,150,9,-285303236,283197270,28.227679,-25.753061,14,22
1,1171,215,0,14,217.000000,6.843550,156,13,-285303263,283197246,28.227677,-25.753063,14,22
1,1208,216,0,14,213.000000,5.151850,163,10,-285303291,283197222,28.227676,-25.753065,14,22
1,1244,214,0,14,218.000000,3.482040,161,6,-285303317,283197197,28.227674,-25.753068,14,22
1,1280,217,0,14,204.000000,5.739730,158,49,-285303346,283197175,28.227672,-25.753070,14,20
1,1315,217,0,14,224.000000,6.994360,153,13,-285303372,283197151,28.227670,-25.753073,14,20
1,1349,217,0,14,214.000000,1.832900,151,3,-285303397,283197129,28.227669,-25.753075,14,20
1,1381,218,0,14,214.000000,3.621760,140,6,-285303422,283197109,28.227667,-25.753077,14,19
1,1412,217,0,14,216.000000,6.906650,142,19,-285303444,283197087,28.227665,-25.753079,14,20
1,1443,218,0,14,214.000000,2.225600,140,3,-285303468,283197067,28.227664,-25.753081,14,19
1,1474,216,0,14,220.000000,9.032150,140,18,-285303490,283197045,28.227662,-25.753083,14,19
1,1505,216,0,14,215.000000,2.945360,136,5,-285303513,283197024,28.227661,-25.753085,14,19
