AutoDrive,s: Angle,Error,S,m: S,F,R,FS1,Seat,Pow
>>>>>>>>>>>>>>>>>>>>>>> Saved Origin x=0 , y=0:  gps_p_goN = -285302245, gps_p_goE = 283197864
>>>>>>>>>>>>>>>>>>>>>>> Saved Directional x=something , y=0:  gps_p_gyN = -285304347, gps_p_gyE = 283195992
Created Path successfully
0,-10.000000,-0.611869,167.040192,0.000000,1,0,1,1,1
0,-11.000000,-0.582693,159.075211,0.000000,1,0,1,1,1
0,-12.000000,-0.553518,151.110489,0.000000,1,0,1,1,1
0,-13.000000,-0.524343,143.145767,0.000000,1,0,1,1,1
0,-14.000000,-0.495168,135.180786,0.000000,1,0,1,1,1
0,-15.000000,-0.571018,155.887970,0.000000,1,0,1,1,1
0,-15.000000,-0.255958,69.876427,0.000000,1,0,1,1,1
0,-15.000000,-0.192951,52.675678,0.000000,1,0,1,1,1
0,-15.000000,-0.213954,58.409435,0.000000,1,0,1,1,1
0,-15.000000,-0.255958,69.876427,0.000000,1,0,1,1,1
0,-16.000000,-0.499840,136.456268,0.000000,1,0,1,1,1
0,-17.000000,-0.491667,134.225037,0.000000,1,0,1,1,1
0,-18.000000,-0.462492,126.260315,0.000000,1,0,1,1,1
0,-19.000000,-0.517340,141.233734,0.000000,1,0,1,1,1
0,-20.000000,-0.530169,144.736008,0.000000,1,0,1,1,1
0,-21.000000,-0.606018,165.442932,0.000000,1,0,1,1,1
0,-22.000000,-0.555841,151.744720,0.000000,1,0,1,1,1
0,-23.000000,-0.568670,155.246979,0.000000,1,0,1,1,1
0,-24.000000,-0.581499,158.749252,0.000000,1,0,1,1,1
0,-23.000000,0.187464,51.177605,0.000000,1,0,1,1,1
0,-23.000000,0.145458,39.710094,0.000000,1,0,1,1,1
0,-23.000000,0.145458,39.710094,0.000000,1,0,1,1,1
0,-23.000000,0.145458,39.710094,0.000000,1,0,1,1,1
0,-22.000000,0.410328,112.019516,0.000000,1,0,1,1,1
0,-21.000000,0.444159,121.255287,0.000000,1,0,1,1,1
0,-20.000000,0.414999,113.294731,0.000000,1,0,1,1,1
0,-19.000000,0.532837,145.464478,0.000000,1,0,1,1,1
0,-19.000000,0.175789,47.990364,0.000000,1,0,1,1,1
0,-19.000000,0.175789,47.990364,0.000000,1,0,1,1,1
0,-19.000000,0.196791,53.723862,0.000000,1,0,1,1,1
0,-18.000000,0.461658,126.032761,0.000000,1,0,1,1,1
0,-18.000000,0.209620,57.226128,0.000000,1,0,1,1,1
0,-18.000000,0.251623,68.693123,0.000000,1,0,1,1,1
0,-18.000000,0.209620,57.226128,0.000000,1,0,1,1,1
0,-17.000000,0.432484,118.068039,0.000000,1,0,1,1,1
0,-17.000000,0.201447,54.994904,0.000000,1,0,1,1,1
0,-17.000000,0.138439,37.793896,0.000000,1,0,1,1,1
0,-16.000000,0.382307,104.369827,0.000000,1,0,1,1,1
0,-16.000000,0.172272,47.030182,0.000000,1,0,1,1,1
0,-15.000000,0.395151,107.876259,0.000000,1,0,1,1,1
0,-14.000000,0.534007,145.783936,0.000000,1,0,1,1,1
0,-13.000000,0.504832,137.819214,0.000000,1,0,1,1,1
0,-12.000000,0.496659,135.587982,0.000000,1,0,1,1,1
