X, Y, PathError, Steering, Velocity
-249.000000,425.000000,0,0,27.600001
-249.000000,425.000000,0,0,30.740001
-249.000000,425.000000,0,0,34.510001
-248.000000,425.000000,0,0,37.620001
-245.000000,426.000000,0,0,38.600001
-238.000000,425.000000,0,0,35.800001
-222.000000,424.000000,0,0,31.990001
-199.000000,424.000000,0,0,24.150001
-172.000000,423.000000,0,0,22.670001
-141.000000,423.000000,0,0,17.270001
-108.000000,422.000000,0,0,15.980001
-78.000000,426.000000,0,0,18.050001
-50.000000,425.000000,0,0,18.640001
-23.000000,424.000000,0,0,20.500001
3.000000,424.000000,0,0,19.180001
30.000000,425.000000,0,0,20.670001
57.000000,425.000000,0,0,19.150001
84.000000,428.000000,0,0,20.180001
111.000000,427.000000,0,0,19.980001
138.000000,429.000000,0,0,18.830001
165.000000,429.000000,0,0,18.220001
189.000000,427.000000,0,0,23.300001
215.000000,427.000000,0,0,21.940001
241.000000,430.000000,0,0,20.570001
267.000000,432.000000,0,0,21.060001
294.000000,432.000000,0,0,20.460001
321.000000,432.000000,0,0,20.000001
350.000000,432.000000,0,0,19.250001
377.000000,432.000000,0,0,20.940001
405.000000,431.000000,0,0,18.270001
432.000000,433.000000,0,0,20.530001
458.000000,435.000000,0,0,21.280001
484.000000,437.000000,0,0,17.290001
511.000000,437.000000,0,0,19.890001
541.000000,438.000000,0,0,18.050001
568.000000,438.000000,0,0,19.420001
594.000000,438.000000,0,0,20.080001
621.000000,440.000000,0,0,19.450001
646.000000,440.000000,0,0,20.570001
674.000000,439.000000,0,0,20.690001
699.000000,442.000000,0,0,19.890001
726.000000,445.000000,0,0,19.430001
751.000000,445.000000,0,0,22.130001
777.000000,447.000000,0,0,22.660001
805.000000,447.000000,0,0,18.390001
833.000000,447.000000,0,0,19.500001
858.000000,448.000000,0,0,21.480001
887.000000,448.000000,0,0,18.440001
913.000000,450.000000,0,0,19.350001
941.000000,450.000000,0,0,19.950001
969.000000,452.000000,0,0,18.570001
997.000000,455.000000,0,0,18.390001
1023.000000,456.000000,0,0,18.440001
1050.000000,457.000000,0,0,20.360001
1076.000000,456.000000,0,0,18.870001
1104.000000,458.000000,0,0,20.160001
1128.000000,462.000000,0,0,21.630001
1151.000000,464.000000,0,0,22.130001
1179.000000,467.000000,0,0,17.600001
1207.000000,467.000000,0,0,18.420001
1235.000000,466.000000,0,0,19.850001
1260.000000,468.000000,0,0,21.030001
1287.000000,471.000000,0,0,20.060001
1313.000000,473.000000,0,0,20.090001
1338.000000,477.000000,0,0,20.580001
1364.000000,478.000000,0,0,19.750001
1389.000000,479.000000,0,0,20.180001
1418.000000,482.000000,0,0,19.750001
1445.000000,485.000000,0,0,19.260001
1473.000000,485.000000,0,0,18.940001
1501.000000,488.000000,0,0,19.280001
1528.000000,490.000000,0,0,19.910001
1554.000000,492.000000,0,0,19.940001
1580.000000,498.000000,0,0,20.430001
1605.000000,496.000000,0,0,19.140001
1633.000000,498.000000,0,0,18.820001
1660.000000,502.000000,0,0,19.620001
1686.000000,504.000000,0,0,19.850001
1712.000000,506.000000,0,0,23.560001
1738.000000,510.000000,0,0,21.080001
1764.000000,511.000000,0,0,20.970001
1792.000000,514.000000,0,0,18.760001
1821.000000,515.000000,0,0,18.320001
1848.000000,519.000000,0,0,16.470001
1877.000000,520.000000,0,0,18.320001
1904.000000,524.000000,0,0,19.090001
1930.000000,527.000000,0,0,18.370001
1957.000000,529.000000,0,0,18.250001
1982.000000,532.000000,0,0,20.430001
2008.000000,536.000000,0,0,18.310001
2034.000000,537.000000,0,0,20.490001
2061.000000,538.000000,0,0,19.290001
2086.000000,540.000000,0,0,20.900001
2111.000000,542.000000,0,0,19.500001
2139.000000,544.000000,0,0,22.950001
2167.000000,549.000000,0,0,19.030001
2193.000000,552.000000,0,0,18.910001
2220.000000,555.000000,0,0,19.250001
2247.000000,559.000000,0,0,19.420001
2273.000000,563.000000,0,0,18.700001
2298.000000,568.000000,0,0,18.350001
2324.000000,569.000000,0,0,16.360001
